locus_tag	ftype	length_bp	gene	EC_number	COG	product
USDA1021_05858	CDS	2373				hypothetical protein
USDA1021_05859	CDS	1041	spuD_2		COG0687	Putrescine-binding periplasmic protein SpuD
USDA1021_05860	CDS	1197	fsr			Fosmidomycin resistance protein
USDA1021_05861	CDS	816	nimR_2			HTH-type transcriptional regulator NimR
USDA1021_05862	CDS	807				hypothetical protein
USDA1021_05863	CDS	957	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
USDA1021_05864	CDS	567				hypothetical protein
USDA1021_05865	CDS	2310				hypothetical protein
USDA1021_05866	CDS	1443		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
USDA1021_05867	CDS	975	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
USDA1021_05868	CDS	594				hypothetical protein
USDA1021_05869	CDS	1245		1.14.13.239		Carnitine monooxygenase oxygenase subunit
USDA1021_05870	CDS	1101	hcr_2	1.-.-.-	COG1018	NADH oxidoreductase HCR
USDA1021_05871	CDS	1062				hypothetical protein
USDA1021_05872	CDS	414				Lectin-like protein BA14k
USDA1021_05873	CDS	990	zntB			Zinc transport protein ZntB
USDA1021_05874	CDS	1782	dmdC_2	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
USDA1021_05875	CDS	753	fcbB1	3.8.1.7		4-chlorobenzoyl coenzyme A dehalogenase-1
USDA1021_05876	CDS	2097	pctA		COG0840	Methyl-accepting chemotaxis protein PctA
USDA1021_05877	CDS	1248	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
USDA1021_05878	CDS	609	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
USDA1021_05879	CDS	468				hypothetical protein
USDA1021_05880	CDS	327				hypothetical protein
USDA1021_05881	CDS	297				hypothetical protein
USDA1021_05882	CDS	465				hypothetical protein
USDA1021_05883	CDS	411				hypothetical protein
USDA1021_05884	CDS	402				hypothetical protein
USDA1021_05885	CDS	195				hypothetical protein
USDA1021_05886	CDS	1872				hypothetical protein
USDA1021_05887	CDS	651				hypothetical protein
USDA1021_05888	CDS	591				hypothetical protein
USDA1021_05889	CDS	141				hypothetical protein
USDA1021_05890	CDS	273				hypothetical protein
USDA1021_05891	CDS	405				hypothetical protein
USDA1021_05892	CDS	2748				hypothetical protein
USDA1021_05893	CDS	183				hypothetical protein
USDA1021_05894	CDS	1515				hypothetical protein
USDA1021_05895	CDS	2025				hypothetical protein
USDA1021_05896	CDS	969				hypothetical protein
USDA1021_05897	CDS	336				hypothetical protein
USDA1021_05898	CDS	366				hypothetical protein
USDA1021_05899	CDS	291				hypothetical protein
USDA1021_05900	CDS	192				hypothetical protein
USDA1021_05901	CDS	333				hypothetical protein
USDA1021_05902	CDS	732				hypothetical protein
USDA1021_05903	CDS	636				hypothetical protein
USDA1021_05904	CDS	408	ttuD_3	1.1.1.81		Putative hydroxypyruvate reductase
USDA1021_05905	CDS	492	allA_1	4.3.2.3	COG3194	Ureidoglycolate lyase
USDA1021_05906	CDS	942				hypothetical protein
USDA1021_05907	CDS	576				hypothetical protein
USDA1021_05908	CDS	1020	purR_2		COG1609	HTH-type transcriptional repressor PurR
USDA1021_05909	CDS	1581	mglA_7	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
USDA1021_05910	CDS	1323				hypothetical protein
USDA1021_05911	CDS	969				hypothetical protein
USDA1021_05912	CDS	1278	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
USDA1021_05913	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
USDA1021_05914	CDS	906	ltnD_2	1.1.1.411	COG2084	L-threonate dehydrogenase
USDA1021_05915	CDS	1005	gntR			HTH-type transcriptional regulator GntR
USDA1021_05916	CDS	678	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
USDA1021_05917	CDS	1197				IS256 family transposase ISRm5
USDA1021_05918	CDS	765	nanR_3		COG2186	HTH-type transcriptional repressor NanR
USDA1021_05919	CDS	984	denD_2	1.1.1.410	COG0451	D-erythronate dehydrogenase
USDA1021_05920	CDS	777		1.1.1.393	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
USDA1021_05921	CDS	1068	ugpC_10	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
USDA1021_05922	CDS	1305				hypothetical protein
USDA1021_05923	CDS	933	sugA_3		COG1175	Trehalose transport system permease protein SugA
USDA1021_05924	CDS	900	ycjP_2		COG0395	Inner membrane ABC transporter permease protein YcjP
USDA1021_05925	CDS	657				hypothetical protein
USDA1021_05926	CDS	915				hypothetical protein
USDA1021_05927	CDS	477				hypothetical protein
USDA1021_05928	CDS	177				hypothetical protein
USDA1021_05929	CDS	123				hypothetical protein
USDA1021_05930	CDS	1938	asnB_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
USDA1021_05931	CDS	267				hypothetical protein
USDA1021_05932	CDS	1548	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
USDA1021_05933	CDS	1005	nadE_2	6.3.1.5		NH(3)-dependent NAD(+) synthetase
USDA1021_05934	CDS	180				hypothetical protein
USDA1021_05935	CDS	1044	yhdN_2	1.1.1.-	COG0667	Aldo-keto reductase YhdN
USDA1021_05936	CDS	252				hypothetical protein
USDA1021_05937	CDS	750	minC		COG0850	Septum site-determining protein MinC
USDA1021_05938	CDS	816	minD		COG2894	Septum site-determining protein MinD
USDA1021_05939	CDS	264	minE		COG0851	Cell division topological specificity factor
USDA1021_05940	CDS	459				hypothetical protein
USDA1021_05941	CDS	660	degU_3		COG2197	Transcriptional regulatory protein DegU
USDA1021_05942	CDS	1413				hypothetical protein
USDA1021_05943	CDS	744				hypothetical protein
USDA1021_05944	CDS	816	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
USDA1021_05945	CDS	621				hypothetical protein
USDA1021_05946	CDS	1122				hypothetical protein
USDA1021_05947	CDS	735	prmC_3	2.1.1.297		Release factor glutamine methyltransferase
USDA1021_05948	CDS	1311				hypothetical protein
USDA1021_05949	CDS	1149				hypothetical protein
USDA1021_05950	CDS	903	dapA_6	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
USDA1021_05951	CDS	1533				hypothetical protein
USDA1021_05952	CDS	1332				hypothetical protein
USDA1021_05953	CDS	756				hypothetical protein
USDA1021_05954	CDS	1230	mshA_7	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
USDA1021_05955	CDS	249				hypothetical protein
USDA1021_05956	CDS	249	parD1_2		COG3609	Antitoxin ParD1
USDA1021_05957	CDS	297	parE1_2		COG3668	Toxin ParE1
USDA1021_05958	CDS	396				hypothetical protein
USDA1021_05959	CDS	1170				hypothetical protein
USDA1021_05960	CDS	390				hypothetical protein
USDA1021_05961	CDS	1044				hypothetical protein
USDA1021_05962	CDS	2160				hypothetical protein
USDA1021_05963	CDS	3234	bepG_2			Efflux pump membrane transporter BepG
USDA1021_05964	CDS	1122	mdtE			Multidrug resistance protein MdtE
USDA1021_05965	CDS	1422	prtC	3.4.24.40		Serralysin C
USDA1021_05966	CDS	162				hypothetical protein
USDA1021_05967	CDS	1068	ocd	4.3.1.12		Ornithine cyclodeaminase
USDA1021_05968	CDS	462	asnC		COG1522	Regulatory protein AsnC
USDA1021_05969	CDS	621				hypothetical protein
USDA1021_05970	CDS	531				hypothetical protein
USDA1021_05971	CDS	615				hypothetical protein
USDA1021_05972	CDS	474				IS630 family transposase ISRm2011-2
USDA1021_05973	CDS	408				hypothetical protein
USDA1021_05974	CDS	192				hypothetical protein
USDA1021_05975	CDS	402				hypothetical protein
USDA1021_05976	CDS	633	cyoC_2		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
USDA1021_05977	CDS	2010	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
USDA1021_05978	CDS	1161	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
USDA1021_05979	CDS	1341	yhjE_2			Inner membrane metabolite transport protein YhjE
USDA1021_05980	CDS	189				hypothetical protein
USDA1021_05981	CDS	177				hypothetical protein
USDA1021_05982	CDS	522	ecfG_5			ECF RNA polymerase sigma factor EcfG
USDA1021_05983	CDS	282				hypothetical protein
USDA1021_05984	CDS	264				hypothetical protein
USDA1021_05985	CDS	477	IMPDH_3	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
USDA1021_05986	CDS	261				hypothetical protein
USDA1021_05987	CDS	303				hypothetical protein
USDA1021_05988	CDS	879				hypothetical protein
USDA1021_05989	CDS	210				hypothetical protein
USDA1021_05990	CDS	783	fabG_15	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
USDA1021_05991	CDS	372				hypothetical protein
USDA1021_05992	CDS	423				hypothetical protein
USDA1021_05993	CDS	249				hypothetical protein
USDA1021_05994	CDS	282				hypothetical protein
USDA1021_05995	CDS	252				hypothetical protein
USDA1021_05996	CDS	1098				hypothetical protein
USDA1021_05997	CDS	339				hypothetical protein
USDA1021_05998	CDS	1749	prsD_2			Type I secretion system ATP-binding protein PrsD
USDA1021_05999	CDS	1320	prsE_3			Type I secretion system membrane fusion protein PrsE
USDA1021_06000	CDS	774	yurK		COG2188	putative HTH-type transcriptional regulator YurK
USDA1021_06001	CDS	1386	licH	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
USDA1021_06002	CDS	936	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
USDA1021_06003	CDS	1263			COG1653	putative ABC transporter-binding protein
USDA1021_06004	CDS	1113	malK_6	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
USDA1021_06005	CDS	894	sugA_4		COG1175	Trehalose transport system permease protein SugA
USDA1021_06006	CDS	876	sugB_2		COG0395	Trehalose transport system permease protein SugB
USDA1021_06007	CDS	438				hypothetical protein
USDA1021_06008	CDS	1278				hypothetical protein
USDA1021_06009	CDS	270				hypothetical protein
USDA1021_06010	CDS	177				hypothetical protein
USDA1021_06011	CDS	336				hypothetical protein
USDA1021_06012	CDS	216				hypothetical protein
USDA1021_06013	CDS	540				hypothetical protein
USDA1021_06014	CDS	723				hypothetical protein
USDA1021_06015	CDS	642				hypothetical protein
USDA1021_06016	CDS	1806	glgB_2	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
USDA1021_06017	CDS	2097	glgX_2	3.2.1.-	COG1523	Glycogen operon protein GlgX 
USDA1021_06018	CDS	1143				hypothetical protein
USDA1021_06019	CDS	744				hypothetical protein
USDA1021_06020	CDS	315				hypothetical protein
USDA1021_06021	CDS	441	hrp1		COG0517	Hypoxic response protein 1
USDA1021_06022	CDS	363				hypothetical protein
USDA1021_06023	CDS	426				hypothetical protein
USDA1021_06024	CDS	393	yabJ_3	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
USDA1021_06025	CDS	999	yiaO_1		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
USDA1021_06026	CDS	477	yiaM_2		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
USDA1021_06027	CDS	1281	dctM_5		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
USDA1021_06028	CDS	1245	hyuC_3	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
USDA1021_06029	CDS	921	argP_3			HTH-type transcriptional regulator ArgP
USDA1021_06030	CDS	810	COQ5_6	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
USDA1021_06031	CDS	1134				hypothetical protein
USDA1021_06032	CDS	1068	hmuU_2		COG0609	Hemin transport system permease protein HmuU
USDA1021_06033	CDS	762	fecE_2		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
USDA1021_06034	CDS	540	rfbC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
USDA1021_06035	CDS	489	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
USDA1021_06036	CDS	843	hldD_2	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
USDA1021_06037	CDS	777		2.1.1.-	COG3510	Rhamnosyl O-methyltransferase
USDA1021_06038	CDS	1737	cocE	3.1.1.84		Cocaine esterase
USDA1021_06039	CDS	996	araH_1		COG1172	L-arabinose transport system permease protein AraH
USDA1021_06040	CDS	1497	araG_1	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
USDA1021_06041	CDS	1062				hypothetical protein
USDA1021_06042	CDS	1428	araA_2	5.3.1.4		L-arabinose isomerase
USDA1021_06043	CDS	228				hypothetical protein
USDA1021_06044	CDS	882	rhaS_4			HTH-type transcriptional activator RhaS
USDA1021_06045	CDS	1233				hypothetical protein
USDA1021_06046	CDS	1071	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
USDA1021_06047	CDS	768	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
USDA1021_06048	CDS	1440		1.5.3.6		6-hydroxy-D-nicotine oxidase
USDA1021_06049	CDS	1422		4.1.1.105	COG0076	Tryptophan decarboxylase
USDA1021_06050	CDS	486				hypothetical protein
USDA1021_06051	CDS	426				hypothetical protein
USDA1021_06052	CDS	276				hypothetical protein
USDA1021_06053	CDS	801	COQ5_7	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
USDA1021_06054	CDS	348				hypothetical protein
USDA1021_06055	CDS	819	ku_4		COG1273	Non-homologous end joining protein Ku
USDA1021_06056	CDS	885	ku_5		COG1273	Non-homologous end joining protein Ku
USDA1021_06057	CDS	234				hypothetical protein
USDA1021_06058	CDS	222				hypothetical protein
USDA1021_06059	CDS	111				hypothetical protein
USDA1021_06060	CDS	393				hypothetical protein
USDA1021_06061	CDS	831				IS3 family transposase ISRm1
USDA1021_06062	CDS	1164	cya_3		COG2931	Bifunctional hemolysin/adenylate cyclase
USDA1021_06063	CDS	213				hypothetical protein
USDA1021_06064	CDS	237				hypothetical protein
USDA1021_06065	CDS	174				hypothetical protein
USDA1021_06066	CDS	273				hypothetical protein
USDA1021_06067	CDS	345				hypothetical protein
USDA1021_06068	CDS	321				hypothetical protein
USDA1021_06069	CDS	171				hypothetical protein
USDA1021_06070	CDS	390				hypothetical protein
USDA1021_06071	CDS	264				hypothetical protein
USDA1021_06072	CDS	411	cpdR_3			Response regulator receiver protein CpdR
USDA1021_06073	CDS	252				hypothetical protein
USDA1021_06074	CDS	474				IS630 family transposase ISRm2011-2
USDA1021_06075	CDS	408				hypothetical protein
USDA1021_06076	CDS	624				hypothetical protein
USDA1021_06077	CDS	336				hypothetical protein
USDA1021_06078	CDS	489	ligD_7		COG1793	Multifunctional non-homologous end joining protein LigD
USDA1021_06079	CDS	336				hypothetical protein
USDA1021_06080	CDS	903				hypothetical protein
USDA1021_06081	CDS	192				hypothetical protein
USDA1021_06082	CDS	267				hypothetical protein
USDA1021_06083	CDS	285				hypothetical protein
USDA1021_06084	CDS	408				hypothetical protein
USDA1021_06085	CDS	414				hypothetical protein
USDA1021_06086	CDS	804				hypothetical protein
USDA1021_06087	CDS	405	rnhA_2	3.1.26.4	COG0328	Ribonuclease HI
USDA1021_06088	CDS	801				hypothetical protein
USDA1021_06089	CDS	345				hypothetical protein
USDA1021_06090	CDS	753	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
USDA1021_06091	CDS	1392				hypothetical protein
USDA1021_06092	CDS	870				hypothetical protein
USDA1021_06093	CDS	1965				hypothetical protein
USDA1021_06094	CDS	618				hypothetical protein
USDA1021_06095	CDS	1902	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
USDA1021_06096	CDS	696				hypothetical protein
USDA1021_06097	CDS	519				hypothetical protein
USDA1021_06098	CDS	267				hypothetical protein
USDA1021_06099	CDS	558				hypothetical protein
USDA1021_06100	CDS	1203				IS256 family transposase ISRm3
USDA1021_06101	CDS	861				hypothetical protein
USDA1021_06102	CDS	1056				hypothetical protein
USDA1021_06103	CDS	711				hypothetical protein
USDA1021_06104	CDS	1020				hypothetical protein
USDA1021_06105	CDS	1356				hypothetical protein
USDA1021_06106	CDS	399				hypothetical protein
USDA1021_06107	CDS	978				hypothetical protein
USDA1021_06108	CDS	819				hypothetical protein
USDA1021_06109	CDS	1215				hypothetical protein
USDA1021_06110	CDS	501				hypothetical protein
USDA1021_06111	CDS	354				hypothetical protein
USDA1021_06112	CDS	2313				hypothetical protein
USDA1021_06113	CDS	894				hypothetical protein
USDA1021_06114	CDS	204				hypothetical protein
USDA1021_06115	CDS	651				hypothetical protein
USDA1021_06116	CDS	897				hypothetical protein
USDA1021_06117	CDS	489				hypothetical protein
USDA1021_06118	CDS	771				hypothetical protein
USDA1021_06119	tRNA	77				tRNA-Arg(ccg)
USDA1021_06120	CDS	786	frcA_6	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
USDA1021_06121	CDS	1356	xylH_1		COG4214	Xylose transport system permease protein XylH
USDA1021_06122	CDS	1038	xylF		COG4213	D-xylose-binding periplasmic protein
USDA1021_06123	CDS	174				hypothetical protein
USDA1021_06124	CDS	1212	nagC_4		COG1940	N-acetylglucosamine repressor
USDA1021_06125	CDS	2364			COG2199	putative signaling protein
USDA1021_06126	CDS	993	idhA	1.1.1.18		Inositol 2-dehydrogenase
USDA1021_06127	CDS	594				hypothetical protein
USDA1021_06128	CDS	243				hypothetical protein
USDA1021_06129	CDS	453				hypothetical protein
USDA1021_06130	CDS	981	gbpR_2			HTH-type transcriptional regulator GbpR
USDA1021_06131	CDS	1068	chvE		COG4213	Multiple sugar-binding periplasmic receptor ChvE
USDA1021_06132	CDS	1536	xylG_3	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
USDA1021_06133	CDS	1215	xylH_2		COG4214	Xylose transport system permease protein XylH
USDA1021_06134	CDS	996				hypothetical protein
USDA1021_06135	CDS	1434	aldHT_2	1.2.1.5		Aldehyde dehydrogenase, thermostable
USDA1021_06136	CDS	1740	araC_3	4.2.1.25		L-arabonate dehydratase
USDA1021_06137	CDS	591				hypothetical protein
USDA1021_06138	CDS	819			COG1305	putative protein
USDA1021_06139	CDS	942				hypothetical protein
USDA1021_06140	CDS	1395			COG2308	putative protein
USDA1021_06141	CDS	921				hypothetical protein
USDA1021_06142	CDS	369				hypothetical protein
USDA1021_06143	CDS	732				hypothetical protein
USDA1021_06144	CDS	1515	rhlE_2	3.6.4.13		ATP-dependent RNA helicase RhlE
USDA1021_06145	CDS	453				hypothetical protein
USDA1021_06146	CDS	648	mnmC_2		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
USDA1021_06147	CDS	1131	mnmC_3	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
USDA1021_06148	CDS	798				hypothetical protein
USDA1021_06149	CDS	930				hypothetical protein
USDA1021_06150	CDS	504	pucL		COG3195	Uric acid degradation bifunctional protein PucL
USDA1021_06151	CDS	513	allA_2	4.3.2.3	COG3194	Ureidoglycolate lyase
USDA1021_06152	CDS	363	pucM_1	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
USDA1021_06153	CDS	750	golD_3	1.1.1.6		NAD-dependent glycerol dehydrogenase
USDA1021_06154	CDS	933	pgrR_18			HTH-type transcriptional regulator PgrR
USDA1021_06155	CDS	702	todT_2			Response regulator protein TodT
USDA1021_06156	CDS	378	dctD_2			C4-dicarboxylate transport transcriptional regulatory protein DctD
USDA1021_06157	CDS	120				hypothetical protein
USDA1021_06158	CDS	3690	sasA_10	2.7.-.-		Adaptive-response sensory-kinase SasA
USDA1021_06159	CDS	954				hypothetical protein
USDA1021_06160	CDS	753				hypothetical protein
USDA1021_06161	CDS	426				hypothetical protein
USDA1021_06162	CDS	1029				hypothetical protein
USDA1021_06163	CDS	1206		1.6.-.-		NADH dehydrogenase-like protein
USDA1021_06164	CDS	831	cpo_7	1.11.1.10		Non-heme chloroperoxidase
USDA1021_06165	CDS	951	rhaR_10			HTH-type transcriptional activator RhaR
USDA1021_06166	CDS	162	mftD	1.-.-.-	COG1304	Putative mycofactocin system heme/flavin oxidoreductase MftD
USDA1021_06167	CDS	627	pgiA_2	5.3.1.9		Glucose-6-phosphate isomerase
USDA1021_06168	CDS	969	rbsB_5		COG1879	Ribose import binding protein RbsB
USDA1021_06169	CDS	1515	mglA_8	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
USDA1021_06170	CDS	996	rbsC_18		COG1172	Ribose import permease protein RbsC
USDA1021_06171	CDS	1020	gatD	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
USDA1021_06172	CDS	1530	araB_3	2.7.1.16	COG1069	Ribulokinase
USDA1021_06173	CDS	981	deoR_2		COG2390	Deoxyribonucleoside regulator
USDA1021_06174	CDS	1137	lldD_3	1.1.-.-	COG1304	L-lactate dehydrogenase
USDA1021_06175	CDS	1317	guaD_1	3.5.4.3	COG0402	Guanine deaminase
USDA1021_06176	CDS	1233				hypothetical protein
USDA1021_06177	CDS	900	gcvA_12			Glycine cleavage system transcriptional activator
USDA1021_06178	CDS	204				hypothetical protein
USDA1021_06179	CDS	2334	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
USDA1021_06180	CDS	1488				hypothetical protein
USDA1021_06181	CDS	777	bdhA_2	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
USDA1021_06182	CDS	1494	glpK	2.7.1.30		Glycerol kinase
USDA1021_06183	CDS	324	sdpR		COG0640	Transcriptional repressor SdpR
USDA1021_06184	CDS	420				hypothetical protein
USDA1021_06185	CDS	222				hypothetical protein
USDA1021_06186	CDS	468				hypothetical protein
USDA1021_06187	CDS	438				hypothetical protein
USDA1021_06188	CDS	1044	fgd	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
USDA1021_06189	CDS	750	map_2	3.4.11.18		Methionine aminopeptidase
USDA1021_06190	CDS	1077				ISAs1 family transposase ISRm21
USDA1021_06191	CDS	1269				hypothetical protein
USDA1021_06192	CDS	1263	sbmA		COG1133	Peptide antibiotic transporter SbmA
USDA1021_06193	CDS	1005				hypothetical protein
USDA1021_06194	CDS	585				hypothetical protein
USDA1021_06195	CDS	669				hypothetical protein
USDA1021_06196	CDS	1431	der		COG1160	GTPase Der
USDA1021_06197	CDS	534	cymR			HTH-type transcriptional regulator CymR
USDA1021_06198	CDS	1212	sfnC_2	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
USDA1021_06199	CDS	1404				hypothetical protein
USDA1021_06200	CDS	1464				hypothetical protein
USDA1021_06201	CDS	1383				hypothetical protein
USDA1021_06202	CDS	771				hypothetical protein
USDA1021_06203	CDS	486				hypothetical protein
USDA1021_06204	CDS	1134	cysG_2		COG0007	Siroheme synthase
USDA1021_06205	CDS	2658	nasA	1.7.-.-		Nitrate reductase
USDA1021_06206	CDS	339	hcaC			3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
USDA1021_06207	CDS	2463	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
USDA1021_06208	CDS	978	siaP_3		COG1638	Sialic acid-binding periplasmic protein SiaP
USDA1021_06209	CDS	513				hypothetical protein
USDA1021_06210	CDS	1314	siaM_2		COG1593	Sialic acid TRAP transporter large permease protein SiaM
USDA1021_06211	CDS	552				hypothetical protein
USDA1021_06212	CDS	1068	ccpA_4		COG1609	Catabolite control protein A
USDA1021_06213	CDS	747	artJ_2		COG0834	ABC transporter arginine-binding protein 1
USDA1021_06214	CDS	1650				hypothetical protein
USDA1021_06215	CDS	669				hypothetical protein
USDA1021_06216	CDS	1842	thrB_3	2.7.1.39		Homoserine kinase
USDA1021_06217	CDS	1164	dgdA	4.1.1.64		2,2-dialkylglycine decarboxylase
USDA1021_06218	CDS	1176	malK_7	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
USDA1021_06219	CDS	1233	yesO_2		COG1653	Putative ABC transporter substrate-binding protein YesO
USDA1021_06220	CDS	960	lacF_7			Lactose transport system permease protein LacF
USDA1021_06221	CDS	813	ngcG_7		COG0395	Diacetylchitobiose uptake system permease protein NgcG
USDA1021_06222	CDS	1704				hypothetical protein
USDA1021_06223	CDS	1035	ccpA_5		COG1609	Catabolite control protein A
USDA1021_06224	CDS	2007		3.2.1.23		Beta-galactosidase
USDA1021_06225	CDS	1005				hypothetical protein
USDA1021_06226	CDS	660		1.11.1.15	COG0450	Peroxiredoxin
USDA1021_06227	CDS	801	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
USDA1021_06228	CDS	2361				hypothetical protein
USDA1021_06229	CDS	906	gtaB_2	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
USDA1021_06230	CDS	1047				hypothetical protein
USDA1021_06231	CDS	930				hypothetical protein
USDA1021_06232	CDS	993				hypothetical protein
USDA1021_06233	CDS	1212				hypothetical protein
USDA1021_06234	CDS	810	exoK	3.2.1.-		Endo-1,3-1,4-beta-glycanase ExoK
USDA1021_06235	CDS	1113				hypothetical protein
USDA1021_06236	CDS	258				hypothetical protein
USDA1021_06237	CDS	576				hypothetical protein
USDA1021_06238	CDS	1485				hypothetical protein
USDA1021_06239	CDS	960				hypothetical protein
USDA1021_06240	CDS	951	pssM	2.5.1.98		Exopolysaccharide glucosyl ketal-pyruvate-transferase
USDA1021_06241	CDS	1029				hypothetical protein
USDA1021_06242	CDS	297				hypothetical protein
USDA1021_06243	CDS	681	epsL_1	2.-.-.-	COG2148	putative sugar transferase EpsL
USDA1021_06244	CDS	1266				hypothetical protein
USDA1021_06245	CDS	1308				hypothetical protein
USDA1021_06246	CDS	1008	oatA_1	2.3.1.-		O-acetyltransferase OatA
USDA1021_06247	CDS	987	galE_3	5.1.3.2	COG1087	UDP-glucose 4-epimerase
USDA1021_06248	CDS	1815		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
USDA1021_06249	CDS	711	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
USDA1021_06250	CDS	357	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
USDA1021_06251	CDS	738	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
USDA1021_06252	CDS	1821	yddA		COG4178	Inner membrane ABC transporter ATP-binding protein YddA
USDA1021_06253	CDS	252				hypothetical protein
USDA1021_06254	CDS	384				hypothetical protein
USDA1021_06255	CDS	2724				hypothetical protein
USDA1021_06256	CDS	1398	exsH_2	3.2.1.-		Endo-1,3-1,4-beta-glycanase ExsH
USDA1021_06257	CDS	990	rbsB_6		COG1879	Ribose import binding protein RbsB
USDA1021_06258	CDS	741	frcA_7	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
USDA1021_06259	CDS	999	rbsC_19		COG1172	Ribose import permease protein RbsC
USDA1021_06260	CDS	1251				hypothetical protein
USDA1021_06261	CDS	483				hypothetical protein
USDA1021_06262	CDS	501				hypothetical protein
USDA1021_06263	CDS	1119	rip3		COG0517	Putative zinc metalloprotease Rip3
USDA1021_06264	CDS	1521	abfA	3.2.1.55		Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
USDA1021_06265	CDS	1089	msiK_2	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
USDA1021_06266	CDS	1269				hypothetical protein
USDA1021_06267	CDS	876	ycjO_3		COG1175	Inner membrane ABC transporter permease protein YcjO
